freq,unit,iccs,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,NR,ICCS0101,AT315	1 	1 	1 	1 	3 	0 	2 	0 	0 	1 	1 	2 	0 	1 
A,NR,ICCS0101,AT32	3 	5 	5 	3 	3 	5 	2 	6 	3 	5 	4 	5 	4 	3 
A,NR,ICCS0101,AT321	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,ICCS0101,AT322	0 	1 	0 	1 	1 	1 	0 	3 	1 	0 	2 	3 	2 	0 
A,NR,ICCS0101,AT323	3 	4 	5 	2 	2 	4 	2 	3 	2 	5 	2 	2 	2 	3 
A,NR,ICCS0101,AT33	2 	2 	3 	11 	12 	7 	4 	4 	3 	3 	5 	6 	6 	8 
A,NR,ICCS0101,AT331	1 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
A,NR,ICCS0101,AT332	1 	1 	2 	5 	7 	2 	3 	4 	2 	2 	1 	4 	0 	3 
A,NR,ICCS0101,AT333	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,ICCS0101,AT334	0 	0 	0 	0 	1 	2 	0 	0 	1 	0 	2 	0 	0 	2 
A,NR,ICCS0101,AT335	0 	1 	1 	3 	4 	3 	1 	0 	0 	1 	2 	2 	6 	2 
A,NR,ICCS0101,AT34	2 	2 	0 	5 	5 	1 	0 	0 	1 	9 	3 	2 	1 	2 
A,NR,ICCS0101,AT341	0 	2 	0 	2 	1 	1 	0 	0 	0 	5 	1 	1 	1 	1 
A,NR,ICCS0101,AT342	2 	0 	0 	3 	4 	0 	0 	0 	1 	4 	2 	1 	0 	1 
A,NR,ICCS0101,BA	66 	67 	54 	49 	60 	46 	49 	56 	42 	34 	36 	37 	42 	31 
A,NR,ICCS0101,BE	204 	189 	189 	214 	206 	204 	210 	231 	175 	198 	192 	146 	145 	146 
A,NR,ICCS0101,BE1	44 	33 	31 	27 	35 	37 	39 	39 	26 	27 	33 	22 	27 	19 
A,NR,ICCS0101,BE10	44 	33 	31 	27 	35 	37 	39 	39 	26 	27 	33 	22 	27 	19 
A,NR,ICCS0101,BE100	44 	33 	31 	27 	35 	37 	39 	39 	26 	27 	33 	22 	27 	19 
A,NR,ICCS0101,BE2	83 	90 	73 	108 	91 	91 	78 	111 	70 	77 	72 	58 	55 	56 
A,NR,ICCS0101,BE21	38 	36 	30 	49 	30 	29 	24 	31 	20 	29 	22 	18 	21 	16 
A,NR,ICCS0101,BE211	25 	28 	22 	32 	26 	23 	12 	17 	8 	18 	11 	13 	15 	11 
A,NR,ICCS0101,BE212	8 	6 	6 	4 	2 	1 	6 	5 	6 	3 	4 	2 	2 	2 
A,NR,ICCS0101,BE213	5 	2 	2 	13 	2 	5 	6 	9 	6 	8 	7 	3 	4 	3 
A,NR,ICCS0101,BE22	16 	13 	11 	21 	9 	7 	14 	22 	10 	8 	12 	5 	4 	5 
A,NR,ICCS0101,BE223	2 	4 	4 	11 	1 	0 	3 	6 	5 	4 	2 	0 	1 	3 
A,NR,ICCS0101,BE224	12 	6 	6 	6 	5 	1 	8 	6 	4 	3 	5 	4 	3 	1 
A,NR,ICCS0101,BE225	2 	3 	1 	4 	3 	6 	3 	10 	1 	1 	5 	1 	0 	1 
A,NR,ICCS0101,BE23	13 	26 	9 	16 	16 	19 	15 	27 	15 	11 	13 	14 	13 	16 
A,NR,ICCS0101,BE231	4 	4 	1 	6 	2 	5 	3 	4 	2 	0 	2 	4 	5 	1 
A,NR,ICCS0101,BE232	1 	4 	0 	3 	0 	1 	3 	4 	3 	3 	3 	0 	2 	1 
A,NR,ICCS0101,BE233	0 	0 	0 	0 	2 	0 	1 	1 	1 	1 	1 	2 	0 	1 
A,NR,ICCS0101,BE234	5 	13 	5 	7 	6 	9 	6 	10 	3 	7 	5 	6 	2 	9 
A,NR,ICCS0101,BE235	0 	1 	0 	0 	0 	0 	0 	3 	2 	0 	1 	2 	1 	1 
A,NR,ICCS0101,BE236	3 	4 	3 	0 	6 	4 	2 	5 	4 	0 	1 	0 	3 	3 
A,NR,ICCS0101,BE24	6 	5 	11 	7 	17 	15 	7 	14 	13 	12 	10 	8 	8 	12 
A,NR,ICCS0101,BE241	4 	5 	8 	1 	4 	10 	5 	11 	8 	7 	8 	5 	6 	9 
A,NR,ICCS0101,BE242	2 	0 	3 	6 	13 	5 	2 	3 	5 	5 	2 	3 	2 	3 
A,NR,ICCS0101,BE25	10 	10 	12 	15 	19 	21 	18 	17 	12 	17 	15 	13 	9 	7 
A,NR,ICCS0101,BE251	2 	2 	0 	4 	3 	5 	6 	6 	1 	5 	3 	3 	1 	3 
A,NR,ICCS0101,BE252	0 	1 	0 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
A,NR,ICCS0101,BE253	1 	0 	1 	0 	1 	2 	1 	0 	2 	0 	1 	2 	1 	0 
A,NR,ICCS0101,BE254	1 	3 	4 	4 	2 	3 	5 	0 	0 	6 	4 	2 	2 	0 
A,NR,ICCS0101,BE255	4 	4 	3 	3 	4 	2 	1 	2 	1 	4 	3 	5 	2 	2 
A,NR,ICCS0101,BE256	1 	0 	3 	3 	3 	6 	4 	7 	5 	1 	2 	1 	2 	0 
A,NR,ICCS0101,BE257	0 	0 	1 	0 	5 	2 	1 	1 	3 	0 	1 	0 	0 	2 
A,NR,ICCS0101,BE258	1 	0 	0 	0 	1 	1 	0 	1 	0 	0 	1 	0 	1 	0 
A,NR,ICCS0101,BE3	77 	66 	85 	79 	80 	76 	93 	81 	79 	94 	87 	66 	63 	71 
A,NR,ICCS0101,BE31	7 	1 	10 	4 	2 	4 	5 	4 	4 	1 	3 	4 	4 	4 
A,NR,ICCS0101,BE310	7 	1 	10 	4 	2 	4 	5 	4 	4 	1 	3 	4 	4 	4 
A,NR,ICCS0101,BE32	30 	25 	32 	38 	35 	33 	45 	28 	33 	28 	30 	27 	25 	30 
A,NR,ICCS0101,BE323	11 	6 	7 	13 	8 	6 	11 	7 	9 	7 	7 	8 	6 	8 
A,NR,ICCS0101,BE328	1 	5 	6 	3 	8 	2 	3 	2 	4 	4 	4 	3 	3 	1 
A,NR,ICCS0101,BE329	4 	1 	4 	4 	6 	5 	1 	5 	3 	3 	4 	1 	2 	3 
A,NR,ICCS0101,BE32A	2 	2 	3 	1 	2 	2 	3 	1 	1 	0 	2 	1 	3 	0 
A,NR,ICCS0101,BE32B	10 	8 	8 	11 	9 	15 	21 	10 	13 	10 	10 	13 	5 	12 
A,NR,ICCS0101,BE32C	2 	0 	0 	3 	0 	3 	3 	2 	2 	3 	1 	0 	2 	5 
A,NR,ICCS0101,BE32D	0 	3 	4 	3 	2 	0 	3 	1 	1 	1 	2 	1 	4 	1 
A,NR,ICCS0101,BE33	32 	26 	28 	31 	26 	24 	20 	29 	27 	30 	35 	20 	25 	30 
A,NR,ICCS0101,BE331	5 	1 	2 	3 	2 	1 	2 	2 	3 	4 	3 	1 	1 	4 
A,NR,ICCS0101,BE332	26 	23 	19 	19 	20 	18 	16 	19 	17 	18 	26 	15 	18 	19 
A,NR,ICCS0101,BE334	0 	0 	3 	1 	1 	2 	0 	0 	2 	1 	0 	0 	1 	2 
A,NR,ICCS0101,BE335	1 	2 	2 	5 	2 	3 	1 	7 	4 	7 	4 	2 	4 	4 
A,NR,ICCS0101,BE336	0 	0 	2 	3 	1 	0 	1 	1 	1 	0 	2 	2 	1 	1 
A,NR,ICCS0101,BE34	2 	5 	7 	2 	5 	7 	10 	5 	7 	4 	5 	3 	5 	2 
A,NR,ICCS0101,BE341	1 	1 	2 	0 	0 	0 	7 	1 	0 	1 	1 	1 	0 	0 
A,NR,ICCS0101,BE342	0 	1 	0 	1 	0 	0 	0 	1 	2 	0 	1 	0 	0 	1 
A,NR,ICCS0101,BE343	0 	2 	2 	0 	3 	4 	2 	0 	2 	2 	2 	1 	3 	0 
A,NR,ICCS0101,BE344	0 	1 	0 	1 	1 	2 	1 	2 	2 	0 	1 	0 	2 	1 
A,NR,ICCS0101,BE345	1 	0 	3 	0 	1 	1 	0 	1 	1 	1 	0 	1 	0 	0 
A,NR,ICCS0101,BE35	6 	9 	8 	4 	12 	8 	13 	15 	8 	31 	14 	12 	4 	5 
A,NR,ICCS0101,BE351	1 	4 	1 	2 	3 	4 	6 	4 	2 	3 	3 	4 	0 	1 
A,NR,ICCS0101,BE352	2 	2 	4 	1 	8 	2 	7 	9 	6 	25 	10 	5 	2 	3 
A,NR,ICCS0101,BE353	3 	3 	3 	1 	1 	2 	0 	2 	0 	3 	1 	3 	2 	1 
A,NR,ICCS0101,BG	153 	142 	137 	121 	132 	104 	112 	126 	80 	95 	91 	80 	66 	89 
A,NR,ICCS0101,BG3	77 	74 	86 	67 	72 	52 	56 	76 	38 	53 	50 	42 	38 	56 
A,NR,ICCS0101,BG31	20 	17 	26 	21 	19 	14 	21 	16 	8 	19 	13 	10 	7 	15 
A,NR,ICCS0101,BG311	4 	1 	2 	1 	2 	0 	4 	3 	1 	2 	1 	1 	1 	1 
A,NR,ICCS0101,BG312	3 	5 	4 	1 	7 	2 	6 	5 	0 	2 	2 	0 	2 	3 
A,NR,ICCS0101,BG313	6 	1 	3 	7 	5 	3 	5 	2 	3 	4 	3 	5 	3 	4 
A,NR,ICCS0101,BG314	7 	6 	8 	8 	4 	4 	5 	4 	2 	8 	4 	1 	1 	3 
A,NR,ICCS0101,BG315	0 	4 	9 	4 	1 	5 	1 	2 	2 	3 	3 	3 	0 	4 
A,NR,ICCS0101,BG32	20 	16 	16 	12 	14 	15 	12 	13 	8 	8 	14 	5 	4 	8 
A,NR,ICCS0101,BG321	5 	4 	2 	2 	7 	5 	3 	3 	2 	1 	5 	1 	2 	1 
A,NR,ICCS0101,BG322	3 	0 	5 	2 	3 	0 	0 	1 	1 	1 	1 	1 	1 	2 
A,NR,ICCS0101,BG323	3 	5 	7 	3 	4 	3 	2 	5 	1 	4 	5 	2 	0 	2 
A,NR,ICCS0101,BG324	4 	6 	2 	3 	0 	4 	5 	4 	2 	1 	2 	0 	0 	3 
A,NR,ICCS0101,BG325	5 	1 	0 	2 	0 	3 	2 	0 	2 	1 	1 	1 	1 	0 
A,NR,ICCS0101,BG33	16 	12 	16 	14 	10 	9 	11 	20 	5 	11 	11 	14 	10 	11 
A,NR,ICCS0101,BG331	9 	2 	6 	5 	1 	6 	6 	11 	1 	5 	4 	10 	4 	5 
A,NR,ICCS0101,BG332	3 	3 	3 	2 	3 	1 	0 	3 	0 	2 	2 	0 	1 	4 
A,NR,ICCS0101,BG333	4 	5 	1 	5 	2 	1 	2 	4 	3 	1 	3 	2 	4 	0 
A,NR,ICCS0101,BG334	0 	2 	6 	2 	4 	1 	3 	2 	1 	3 	2 	2 	1 	2 
A,NR,ICCS0101,BG34	21 	29 	28 	20 	29 	14 	12 	27 	17 	15 	12 	13 	17 	22 
A,NR,ICCS0101,BG341	7 	11 	9 	11 	14 	6 	3 	11 	4 	4 	5 	4 	5 	7 
A,NR,ICCS0101,BG342	3 	3 	8 	3 	4 	1 	4 	6 	3 	2 	5 	4 	7 	2 
A,NR,ICCS0101,BG343	3 	5 	5 	1 	4 	2 	1 	6 	3 	1 	1 	1 	1 	4 
A,NR,ICCS0101,BG344	8 	10 	6 	5 	7 	5 	4 	4 	7 	8 	1 	4 	4 	9 
A,NR,ICCS0101,BG4	76 	68 	51 	54 	60 	52 	56 	50 	42 	42 	41 	38 	28 	33 
A,NR,ICCS0101,BG41	47 	42 	34 	36 	43 	34 	39 	31 	25 	25 	26 	24 	19 	21 
A,NR,ICCS0101,BG411	24 	24 	19 	19 	24 	15 	25 	16 	11 	12 	11 	10 	10 	14 
A,NR,ICCS0101,BG412	12 	7 	9 	5 	10 	8 	6 	7 	7 	5 	7 	6 	4 	2 
A,NR,ICCS0101,BG413	7 	3 	2 	3 	4 	4 	5 	3 	6 	4 	3 	2 	2 	2 
A,NR,ICCS0101,BG414	2 	7 	2 	4 	4 	5 	1 	5 	1 	3 	1 	1 	0 	2 
A,NR,ICCS0101,BG415	2 	1 	2 	5 	1 	2 	2 	0 	0 	1 	4 	5 	3 	1 
A,NR,ICCS0101,BG42	29 	26 	17 	18 	17 	18 	17 	19 	17 	17 	15 	14 	9 	12 
A,NR,ICCS0101,BG421	16 	14 	7 	7 	10 	8 	8 	8 	5 	7 	6 	7 	4 	5 
A,NR,ICCS0101,BG422	5 	5 	4 	3 	1 	7 	2 	5 	5 	2 	3 	5 	2 	3 
A,NR,ICCS0101,BG423	5 	3 	5 	6 	2 	2 	5 	3 	5 	5 	4 	1 	2 	2 
A,NR,ICCS0101,BG424	2 	2 	0 	0 	3 	0 	1 	2 	0 	2 	1 	1 	0 	1 
A,NR,ICCS0101,BG425	1 	2 	1 	2 	1 	1 	1 	1 	2 	1 	1 	0 	1 	1 
A,NR,ICCS0101,CH	: 	51 	52 	46 	45 	57 	41 	57 	45 	45 	50 	46 	47 	42 
A,NR,ICCS0101,CH0	: 	51 	52 	46 	45 	57 	41 	57 	45 	45 	50 	46 	47 	42 
A,NR,ICCS0101,CH01	: 	11 	10 	11 	13 	16 	9 	13 	14 	11 	14 	11 	10 	11 
A,NR,ICCS0101,CH011	: 	3 	3 	4 	5 	3 	5 	7 	6 	6 	6 	4 	8 	4 
A,NR,ICCS0101,CH012	: 	0 	1 	1 	1 	7 	1 	2 	2 	1 	5 	0 	1 	1 
A,NR,ICCS0101,CH013	: 	8 	6 	6 	7 	6 	3 	4 	6 	4 	3 	7 	1 	6 
A,NR,ICCS0101,CH02	: 	8 	9 	16 	10 	17 	7 	10 	8 	13 	11 	5 	8 	6 
A,NR,ICCS0101,CH021	: 	2 	5 	8 	5 	10 	5 	4 	6 	6 	7 	3 	6 	3 
A,NR,ICCS0101,CH022	: 	0 	1 	5 	1 	2 	1 	0 	0 	1 	2 	1 	2 	0 
A,NR,ICCS0101,CH023	: 	6 	2 	1 	3 	5 	1 	1 	2 	2 	1 	0 	0 	2 
A,NR,ICCS0101,CH024	: 	0 	1 	1 	1 	0 	0 	4 	0 	4 	0 	0 	0 	1 
A,NR,ICCS0101,CH025	: 	0 	0 	1 	0 	0 	0 	1 	0 	0 	1 	1 	0 	0 
A,NR,ICCS0101,CH03	: 	11 	6 	5 	11 	5 	7 	16 	2 	6 	8 	7 	7 	7 
A,NR,ICCS0101,CH031	: 	6 	3 	1 	4 	1 	3 	1 	0 	3 	1 	1 	1 	2 
A,NR,ICCS0101,CH032	: 	0 	1 	1 	4 	0 	1 	1 	0 	1 	1 	4 	1 	1 
A,NR,ICCS0101,CH033	: 	5 	2 	3 	3 	4 	3 	14 	2 	2 	6 	2 	5 	4 
A,NR,ICCS0101,CH04	: 	9 	14 	3 	6 	5 	10 	8 	10 	7 	7 	16 	6 	5 
A,NR,ICCS0101,CH040	: 	9 	14 	3 	6 	5 	10 	8 	10 	7 	7 	16 	6 	5 
A,NR,ICCS0101,CH05	: 	5 	8 	7 	2 	6 	1 	6 	7 	4 	4 	5 	6 	10 
A,NR,ICCS0101,CH051	: 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 
A,NR,ICCS0101,CH052	: 	0 	1 	1 	0 	0 	0 	2 	0 	0 	0 	0 	2 	3 
A,NR,ICCS0101,CH053	: 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
A,NR,ICCS0101,CH054	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,ICCS0101,CH055	: 	2 	3 	5 	1 	4 	1 	2 	5 	3 	3 	3 	0 	5 
A,NR,ICCS0101,CH056	: 	0 	2 	0 	1 	1 	0 	0 	0 	1 	0 	2 	0 	0 
A,NR,ICCS0101,CH057	: 	2 	2 	1 	0 	1 	0 	1 	2 	0 	1 	0 	3 	1 
A,NR,ICCS0101,CH06	: 	5 	3 	4 	1 	8 	5 	3 	2 	3 	5 	1 	5 	2 
A,NR,ICCS0101,CH061	: 	3 	0 	1 	0 	5 	3 	3 	1 	3 	2 	0 	4 	2 
A,NR,ICCS0101,CH062	: 	0 	0 	0 	0 	1 	1 	0 	0 	0 	0 	0 	0 	0 
A,NR,ICCS0101,CH063	: 	0 	2 	3 	1 	2 	0 	0 	0 	0 	1 	1 	1 	0 
A,NR,ICCS0101,CH064	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,ICCS0101,CH065	: 	0 	1 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 
A,NR,ICCS0101,CH066	: 	2 	0 	0 	0 	0 	0 	0 	1 	0 	1 	0 	0 	0 
A,NR,ICCS0101,CH07	: 	2 	2 	0 	2 	0 	2 	1 	2 	1 	1 	1 	5 	1 
A,NR,ICCS0101,CH070	: 	2 	2 	0 	2 	0 	2 	1 	2 	1 	1 	1 	5 	1 
A,NR,ICCS0101,CY	9 	19 	7 	8 	19 	11 	10 	12 	11 	7 	14 	13 	15 	14 
A,NR,ICCS0101,CY0	9 	19 	7 	8 	19 	11 	10 	12 	11 	7 	14 	13 	15 	14 
A,NR,ICCS0101,CY00	9 	19 	7 	8 	19 	11 	10 	12 	11 	7 	14 	13 	15 	14 
A,NR,ICCS0101,CY000	9 	19 	7 	8 	19 	11 	10 	12 	11 	7 	14 	13 	15 	14 
A,NR,ICCS0101,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	116 	81 	57 	46 
A,NR,ICCS0101,CZ0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	116 	81 	57 	46 
A,NR,ICCS0101,CZ01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17 	14 	10 	7 
A,NR,ICCS0101,CZ010	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17 	14 	10 	7 
A,NR,ICCS0101,CZ02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17 	10 	8 	1 
A,NR,ICCS0101,CZ020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17 	10 	8 	1 
A,NR,ICCS0101,CZ03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13 	6 	6 	9 
A,NR,ICCS0101,CZ031	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7 	4 	3 	7 
A,NR,ICCS0101,CZ032	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6 	2 	3 	2 
A,NR,ICCS0101,CZ04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14 	6 	8 	8 
A,NR,ICCS0101,CZ041	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 	2 	5 	3 
A,NR,ICCS0101,CZ042	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11 	4 	3 	5 
A,NR,ICCS0101,CZ05	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11 	11 	8 	4 
A,NR,ICCS0101,CZ051	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	1 	5 	3 
A,NR,ICCS0101,CZ052	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 	6 	1 	1 
A,NR,ICCS0101,CZ053	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	4 	2 	0 
A,NR,ICCS0101,CZ06	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19 	17 	5 	9 
A,NR,ICCS0101,CZ063	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 	4 	1 	3 
A,NR,ICCS0101,CZ064	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16 	13 	4 	6 
A,NR,ICCS0101,CZ07	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18 	7 	4 	4 
A,NR,ICCS0101,CZ071	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11 	5 	2 	2 
A,NR,ICCS0101,CZ072	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7 	2 	2 	2 
A,NR,ICCS0101,CZ08	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7 	10 	8 	4 
A,NR,ICCS0101,CZ080	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7 	10 	8 	4 
A,NR,ICCS0101,DE	: 	: 	: 	: 	619 	623 	645 	655 	747 	738 	632 	586 	: 	: 
A,NR,ICCS0101,DE1	: 	: 	: 	: 	78 	65 	70 	66 	81 	85 	78 	63 	: 	: 
A,NR,ICCS0101,DE11	: 	: 	: 	: 	28 	19 	37 	27 	30 	33 	31 	23 	: 	: 
A,NR,ICCS0101,DE111	: 	: 	: 	: 	1 	3 	8 	2 	7 	2 	7 	3 	: 	: 
A,NR,ICCS0101,DE112	: 	: 	: 	: 	2 	1 	0 	4 	0 	0 	3 	2 	: 	: 
A,NR,ICCS0101,DE113	: 	: 	: 	: 	0 	4 	9 	5 	3 	5 	1 	3 	: 	: 
A,NR,ICCS0101,DE114	: 	: 	: 	: 	2 	1 	0 	0 	2 	3 	0 	3 	: 	: 
A,NR,ICCS0101,DE115	: 	: 	: 	: 	2 	2 	3 	2 	3 	9 	1 	1 	: 	: 
A,NR,ICCS0101,DE116	: 	: 	: 	: 	7 	3 	7 	5 	3 	0 	5 	2 	: 	: 
A,NR,ICCS0101,DE117	: 	: 	: 	: 	3 	2 	1 	4 	1 	1 	2 	2 	: 	: 
A,NR,ICCS0101,DE118	: 	: 	: 	: 	2 	1 	1 	4 	1 	4 	1 	0 	: 	: 
A,NR,ICCS0101,DE119	: 	: 	: 	: 	3 	0 	1 	0 	1 	4 	5 	0 	: 	: 
A,NR,ICCS0101,DE11A	: 	: 	: 	: 	0 	2 	0 	0 	2 	0 	1 	2 	: 	: 
